doc_id,stage,year,title,source,classification,confidence,reasoning,method_tags,ai_methods,chip_tasks,hw_artifacts,ai_workloads
2-s2.0-84922837643,packaging,2015,Energy efficient adaptive clustering of on-chip power delivery systems,Integration the VLSI Journal,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:clustering,power_analysis:power delivery,,
2-s2.0-84938359173,fabrication,2015,LASIC: Layout Analysis for Systematic IC-Defect Identification Using Clustering,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:clustering,defect_detection:layout analysis,,
2-s2.0-84940021422,fabrication,2015,Circuit Performance Classification with Active Learning Guided Sampling for Support Vector Machines,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:support vector,calibration:circuit performance,,
2-s2.0-84944097068,design,2015,Towards enhancing analog circuits sizing using SMT-based techniques,Proceedings Design Automation Conference,ai_for_chips,high,AI method applied to chip design task,symbolic_reasoning,symbolic_reasoning:smt,analog_circuit_design:analog circuit,,
2-s2.0-84944104282,design,2015,Efficient multivariate moment estimation via Bayesian model fusion for analog and mixed-signal circuits,Proceedings Design Automation Conference,ai_for_chips,high,AI method applied to chip design task,bayesian_probabilistic,bayesian_probabilistic:bayesian,analog_circuit_design:mixed-signal circuit,,
2-s2.0-84944144840,fabrication,2015,MTunes: Efficient post-silicon tuning of mixed-signal/RF integrated circuits based on Markov decision process,Proceedings Design Automation Conference,ai_for_chips,high,AI method applied to chip design task,reinforcement_learning,reinforcement_learning:markov decision,verification:post-silicon,,
2-s2.0-84945953724,transit,2015,Hardware Trojan detection for gate-level ICs using signal correlation based clustering,Proceedings Design Automation and Test in Europe Date,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:clustering,security_analysis:hardware trojan,,
2-s2.0-84954286020,fabrication,2015,Intra-die process variation aware anomaly detection in FPGAs,Proceedings International Test Conference,ai_for_chips,high,AI method applied to chip design task,anomaly_detection,anomaly_detection:anomaly detection,process_optimization:process variation,,
2-s2.0-84954288409,design,2015,Bayesian model fusion: Enabling test cost reduction of analog/RF circuits via wafer-level spatial variation modeling,Proceedings International Test Conference,ai_for_chips,high,AI method applied to chip design task,bayesian_probabilistic,bayesian_probabilistic:bayesian,analog_circuit_design:rf circuit; wafer_map_analysis:wafer-level,,
2-s2.0-84958602523,in_field,2015,A structured approach to post-silicon validation and debug using symbolic quick error detection,Proceedings International Test Conference,ai_for_chips,high,AI method applied to chip design task,symbolic_reasoning,symbolic_reasoning:symbolic,verification:post-silicon,,
2-s2.0-85027936215,in_field,2015,VLSI Design for SVM-Based Speaker Verification System,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:svm,verification:verification,,
2-s2.0-84933566368,fabrication,2016,GenFin: Genetic algorithm-based multiobjective statistical logic circuit optimization using incremental statistical analysis,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,high,AI method applied to chip design task,evolutionary_optimization,evolutionary_optimization:genetic algorithm,logic_synthesis:logic circuit; analog_circuit_design:circuit optimization,,
2-s2.0-84964553183,in_field,2016,Reducing post-silicon coverage monitoring overhead with emulation and Bayesian feature selection,2015 IEEE ACM International Conference on Computer Aided Design Iccad 2015,ai_for_chips,high,AI method applied to chip design task,bayesian_probabilistic,bayesian_probabilistic:bayesian,verification:post-silicon,,
2-s2.0-84964561947,design,2016,Co-Learning Bayesian Model Fusion: Efficient performance modeling of analog and mixed-signal circuits using side information,2015 IEEE ACM International Conference on Computer Aided Design Iccad 2015,ai_for_chips,high,AI method applied to chip design task,bayesian_probabilistic,bayesian_probabilistic:bayesian,analog_circuit_design:mixed-signal circuit; calibration:performance modeling,,
2-s2.0-84973601100,fabrication,2016,Learning-based dynamic reliability management for dark silicon processor considering em effects,Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016,ai_for_chips,high,AI method applied to chip design task,general_ml_signals,general_ml_signals:learning-based,reliability_analysis:reliability,,
2-s2.0-84973606577,design,2016,Adaptive Threshold Non-Pareto Elimination: Re-thinking machine learning for system level design space exploration on FPGAs,Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:machine learning,design_space_exploration:design space exploration,,
2-s2.0-84973615747,design,2016,Pareto front analog layout placement using Satisfiability Modulo Theories,Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016,ai_for_chips,high,AI method applied to chip design task,symbolic_reasoning,symbolic_reasoning:satisfiability,placement:placement; design_space_exploration:pareto; analog_circuit_design:analog layout,,
2-s2.0-84973637647,design,2016,Practical ILP-based routing of standard cells,Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016,ai_for_chips,high,AI method applied to chip design task,symbolic_reasoning,symbolic_reasoning:ilp,routing:routing,,
