doc_id,stage,year,title,source,classification,confidence,reasoning,method_tags,ai_methods,chip_tasks,hw_artifacts,ai_workloads
2-s2.0-84922837643,packaging,2015,Energy efficient adaptive clustering of on-chip power delivery systems,Integration the VLSI Journal,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:clustering,power_analysis:power delivery,,
2-s2.0-84938308846,packaging,2015,Leveraging the Error Resilience of Neural Networks for Designing Highly Energy Efficient Accelerators,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,llm_foundation_models,llm_foundation_models:rag; deep_learning:neural network,reliability_analysis:aging,,
2-s2.0-84938359173,fabrication,2015,LASIC: Layout Analysis for Systematic IC-Defect Identification Using Clustering,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:clustering,defect_detection:layout analysis,,
2-s2.0-84939479932,design,2015,Fault detection in analog and mixed-signal circuits by using Hilbert-Huang transform and coherence analysis,Microelectronics Journal,ai_for_chips,high,AI method applied to chip design task,llm_foundation_models,llm_foundation_models:bert,analog_circuit_design:mixed-signal circuit,,
2-s2.0-84940021422,fabrication,2015,Circuit Performance Classification with Active Learning Guided Sampling for Support Vector Machines,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:support vector,calibration:circuit performance,,
2-s2.0-85027936215,in_field,2015,VLSI Design for SVM-Based Speaker Verification System,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:svm,verification:verification,,
2-s2.0-85028139553,in_field,2015,Leveraging Hotspots and Improving Chip Reliability via Carbon Nanotube Grid Thermal Structure,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,high,AI method applied to chip design task,llm_foundation_models,llm_foundation_models:rag,hotspot_detection:hotspot; reliability_analysis:reliability,,
2-s2.0-84923116046,fabrication,2016,Exploiting Process Variation for Write Performance Improvement on NAND Flash Memory Storage Systems,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,high,AI method applied to chip design task,llm_foundation_models,llm_foundation_models:rag,process_optimization:process variation,,
2-s2.0-84933566368,fabrication,2016,GenFin: Genetic algorithm-based multiobjective statistical logic circuit optimization using incremental statistical analysis,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,high,AI method applied to chip design task,evolutionary_optimization,evolutionary_optimization:genetic algorithm,logic_synthesis:logic circuit; analog_circuit_design:circuit optimization,,
2-s2.0-84961752973,fabrication,2016,Managing Test Coverage Uncertainty due to Random Noise in Nano-CMOS: A Case-Study on an SRAM Array,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,llm_foundation_models,llm_foundation_models:rag,verification:test coverage; reliability_analysis:aging,,
2-s2.0-84976500965,fabrication,2016,A SVM surrogate model-based method for parametric yield optimization,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,bayesian_probabilistic; classical_ml,bayesian_probabilistic:surrogate model; classical_ml:svm,yield_prediction:yield optimization,,
2-s2.0-84978909882,design,2016,Sensitivity aware NSGA-II based Pareto front generation for the optimal sizing of analog circuits,Integration the VLSI Journal,ai_for_chips,high,AI method applied to chip design task,evolutionary_optimization,evolutionary_optimization:nsga,design_space_exploration:pareto; analog_circuit_design:analog circuit,,
2-s2.0-84979497648,design,2016,Bayesian model fusion: Large-scale performance modeling of analog and mixed-signal circuits by reusing early-stage data,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,bayesian_probabilistic,bayesian_probabilistic:bayesian,analog_circuit_design:mixed-signal circuit; calibration:performance modeling,,
2-s2.0-84984879000,fabrication,2016,IC substrate package yield prediction model and layer level risk assessment by design analysis,IEEE Transactions on Semiconductor Manufacturing,ai_for_chips,high,AI method applied to chip design task,general_ml_signals,general_ml_signals:prediction model,yield_prediction:yield prediction,,
2-s2.0-84992379147,design,2016,Two-stage fuzzy inference system for symbolic simplification of analog circuits,Integration the VLSI Journal,ai_for_chips,high,AI method applied to chip design task,symbolic_reasoning,symbolic_reasoning:symbolic,analog_circuit_design:analog circuit,,
2-s2.0-84992596252,in_field,2016,Development of a lifetime prediction model for lithium thionyl chloride batteries based on an accelerated degradation test,Microelectronics Reliability,ai_for_chips,high,AI method applied to chip design task,general_ml_signals,general_ml_signals:prediction model,reliability_analysis:degradation,,
