doc_id,stage,year,title,source,classification,confidence,reasoning,method_tags,ai_methods,chip_tasks,hw_artifacts,ai_workloads
2-s2.0-84924069933,design,2015,A fault-aware toolchain approach for FPGA fault tolerance,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:fault tolerance,,
2-s2.0-84952012029,design,2015,A finite-point method for efficient gate characterization under multiple input switching,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84951993843,design,2015,A new uncertainty budgeting-based method for robust analog/mixed-signal design,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84924051143,design,2015,A tool for analog/RF BIST evaluation using statistical models of circuit parameters,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84934753761,design,2015,Adaptive generation of unique IDs for digital chips through analog excitation,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84934767427,in_field,2015,Aging-and variation-aware delay monitoring using representative critical path selection,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:aging,,
2-s2.0-84924073967,design,2015,Automated iterative pipelining for ASIC design,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84942928347,packaging,2015,Built-in self-test and test scheduling for interposer-based 2.5D IC,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:ilt; test_generation:test scheduling,,
2-s2.0-84949648547,packaging,2015,DARP-MP: Dynamically adaptable resilient pipeline design in multicore processors,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84951938511,fabrication,2015,DFT assisted techniques for peak launch-to-capture power reduction during launch-on-shift at-speed testing,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84952025709,in_field,2015,Exploiting instruction set encoding for aging-aware microprocessor design,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:aging,,
2-s2.0-84942906087,packaging,2015,H-matrix-based finite-element-based thermal analysis for 3D ICs,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,thermal_management:thermal analysis,,
2-s2.0-84934760432,design,2015,High-throughput logic timing simulation on GPGPUs,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84952059962,in_field,2015,Offline washing schemes for residue removal in digital microfluidic biochips,ACM Transactions on Design Automation of Electronic Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84951919302,design,2015,Performance-driven unit-capacitor placement of successive-approximation-register ADCs,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement; analog_circuit_design:adc,,
2-s2.0-84924036627,in_field,2015,"Reconfigurable scan networks: Modeling, verification, and optimalpattern generation",ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,verification:verification,,
2-s2.0-84924063329,fabrication,2015,Yield Improvement for 3D wafer-to-wafer stacked ICs using wafer matching,ACM Transactions on Design Automation of Electronic Systems,ai_for_chips,low,Chip design task without explicit AI method,,,yield_prediction:yield improvement,,
2-s2.0-84940035357,in_field,2015,3-D Stacked DRAM Refresh Management with Guaranteed Data Reliability,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:reliability,,
2-s2.0-84933049168,fabrication,2015,A Low-Power Hybrid RO PUF With Improved Thermal Stability for Lightweight Applications,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,security_analysis:puf,,
2-s2.0-84940102004,design,2015,A fast prototyping framework for analog layout migration with planar preservation,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:analog layout,,
2-s2.0-84919808070,design,2015,A formal method for optimal high-level casting of heterogeneous fixed-point adders and subtractors,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84921492533,design,2015,A novel analog physical synthesis methodology integrating existent design expertise,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84919820278,fabrication,2015,A novel fast layout encoding method for exact multilayer pattern matching with Prüfer encoding,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938390560,in_field,2015,"An Efficient Application Mapping Approach for the Co-Optimization of Reliability, Energy, and Performance in Reconfigurable NoC Architectures",IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,design_space_exploration:co-optimization; reliability_analysis:reliability,,
2-s2.0-84933050421,design,2015,Analog Circuit Design Knowledge Mining: Discovering Topological Similarities and Uncovering Design Reasoning Strategies,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:analog circuit,,
2-s2.0-84942431680,design,2015,Automatic Placement to Improve Capacitance Matching Using a Generalized Common-Centroid Layout and Spatial Correlation Optimization,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement,,
2-s2.0-84960860996,design,2015,Belling the CAD: Toward Security-Centric Electronic System Design,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84940021422,fabrication,2015,Circuit Performance Classification with Active Learning Guided Sampling for Support Vector Machines,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:support vector,calibration:circuit performance,,
2-s2.0-84930505160,in_field,2015,Combining image processing and laser fault injections for characterizing a hardware AES,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:fault injection,,
2-s2.0-84942413674,in_field,2015,Comprehensive Analysis of Sequential and Combinational Soft Errors in an Embedded Processor,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:soft error,,
2-s2.0-84961782042,fabrication,2015,DFT Architecture with Power-Distribution-Network Consideration for Delay-Based Power Gating Test,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84926298826,design,2015,Detailed Routing Algorithms for Advanced Technology Nodes,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,routing:routing,,
2-s2.0-84961822569,fabrication,2015,DÉJÀ VU: An Entropy Reduced Hash Function for VLSI Layout Databases,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84928388774,design,2015,EPlace-MS: Electrostatics-based placement for mixed-size circuits,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement,,
2-s2.0-84921503151,design,2015,FEATS: Framework for explorative analog topology synthesis,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961801350,packaging,2015,Fast Random Walk Based Capacitance Extraction for the 3-D IC Structures with Cylindrical Inter-Tier-Vias,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84933042039,fabrication,2015,Fast Statistical Analysis of Rare Circuit Failure Events via Scaled-Sigma Sampling for High-Dimensional Variation Space,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961772130,packaging,2015,General Timing-Aware Built-In Self-Repair for Die-to-Die Interconnects,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:ilt,,
2-s2.0-84930506995,transit,2015,Helper data algorithms for puf-based key generation: Overview and analysis,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,security_analysis:puf,,
2-s2.0-84933052345,in_field,2015,Intelligent Voltage Ramp-Up Time Adaptation for Temperature Noise Reduction on Memory-Based PUF Systems,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,security_analysis:puf,,
2-s2.0-84919947732,packaging,2015,Interconnect testing and test-path scheduling for interposer-based 2.5-D ICs,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938359173,fabrication,2015,LASIC: Layout Analysis for Systematic IC-Defect Identification Using Clustering,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,classical_ml,classical_ml:clustering,defect_detection:layout analysis,,
2-s2.0-84938355664,packaging,2015,LUTSim: A Look-Up Table-Based Thermal Simulator for 3-D ICs,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938308846,packaging,2015,Leveraging the Error Resilience of Neural Networks for Designing Highly Energy Efficient Accelerators,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,high,AI method applied to chip design task,llm_foundation_models,llm_foundation_models:rag; deep_learning:neural network,reliability_analysis:aging,,
2-s2.0-84961820407,in_field,2015,Low Energy yet Reliable Data Communication Scheme for Network-on-Chip,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84923854050,design,2015,MEEC models for RFIC design based on coupled electric and magnetic circuits,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84940032574,design,2015,MOS Table Models for Fast and Accurate Simulation of Analog and Mixed-Signal Circuits Using Efficient Oscillation-Diminishing Interpolations,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:mixed-signal circuit,,
2-s2.0-84928405380,design,2015,Methodology for standard cell compliance and detailed placement for triple patterning lithography,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement; lithography_optimization:lithography,,
2-s2.0-84926352012,design,2015,Model-Driven Design of Network Aspects of Distributed Embedded Systems,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938411143,design,2015,Modeling STI Edge Parasitic Current for Accurate Circuit Simulations,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84928383197,design,2015,Modeling and simulation of low-frequency noise in nano devices: Stochastically correct and carefully crafted numerical techniques,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961798336,packaging,2015,Multi-TSV and E-Field Sharing Aware Full-chip Extraction and Mitigation of TSV-To-Wire Coupling,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961770719,in_field,2015,Nonintrusive On-Line Transition-Time Binning and Timing Failure Threat Detection for Die-To-Die Interconnects,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84926345152,fabrication,2015,Novel Spare TSV Deployment for 3-D ICs Considering Yield and Timing Constraints,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84933047783,fabrication,2015,Optimizing a Reconfigurable Power Distribution Network in a Multicore Platform,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84928407650,design,2015,Placement density aware power switch planning methodology for power gating designs,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement,,
2-s2.0-84926289119,packaging,2015,Placement-Driven Partitioning for Congestion Mitigation in Monolithic 3D IC Designs,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement; routing:congestion,,
2-s2.0-84961857093,design,2015,Planning Massive Interconnects in 3-D Chips,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961851504,packaging,2015,Post-Bond Interconnect Test and Diagnosis for 3-D Memory Stacked on Logic,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,fault_diagnosis:diagnosis,,
2-s2.0-84961784201,design,2015,Power Efficient High-Level Synthesis by Centralized and Fine-Grained Clock Gating,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,logic_synthesis:high-level synthesis,,
2-s2.0-84961774941,design,2015,RRAM-Based Analog Approximate Computing,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,chips_for_ai,medium,Hardware artifact present without chip design task,,,,in_memory_computing:rram-based,
2-s2.0-84933056024,design,2015,Rapid Co-Optimization of Processing and Circuit Design to Overcome Carbon Nanotube Variations,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,design_space_exploration:co-optimization,,
2-s2.0-84930506335,design,2015,Recycled IC detection based on statistical methods,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,security_analysis:recycled,,
2-s2.0-84940049494,in_field,2015,Redundancy-aware power grid electromigration checking under workload uncertainties,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,power_analysis:power grid; reliability_analysis:electromigration,,
2-s2.0-84926346151,in_field,2015,Reliable Radix-4 Complex Division for Fault-Sensitive Applications,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84930507375,in_field,2015,Reliable physical unclonable functions using data retention voltage of SRAM Cells,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84928380696,fabrication,2015,Repairing a 3-D die-stack using available programmable logic,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84919784195,packaging,2015,Reuse-based optimization for prebond and post-bond testing of 3-D-stacked ICs,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961774516,design,2015,Robust Optimization of Multiple Timing Constraints,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84961827084,packaging,2015,Robust Optimization of Test-Access Architectures under Realistic Scenarios,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84942426674,design,2015,SSDExplorer: A Virtual Platform for Performance/Reliability-Oriented Fine-Grained Design Space Exploration of Solid State Drives,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,design_space_exploration:design space exploration; reliability_analysis:reliability,,
2-s2.0-84923917072,design,2015,Secure power grid simulation on cloud,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,power_analysis:power grid,,
2-s2.0-84930506305,in_field,2015,Segment delay learning from quantized path delay measurements,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,timing_analysis:path delay,,
2-s2.0-84928379611,in_field,2015,Selective body biasing for post-silicon tuning of sub-threshold designs: An adaptive filtering approach,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,verification:post-silicon; lithography_optimization:ilt,,
2-s2.0-84928385827,fabrication,2015,Self-aligned double and quadruple patterning aware grid routing methods,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,routing:routing,,
2-s2.0-84928410274,design,2015,Self-aligned double patterning aware pin access and standard cell layout co-optimization,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,design_space_exploration:co-optimization,,
2-s2.0-84961789042,fabrication,2015,Statistical Timing Analysis and Criticality Computation for Circuits with Post-Silicon Clock Tuning Elements,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,timing_analysis:timing analysis; verification:post-silicon,,
2-s2.0-84923931702,fabrication,2015,Stitch-aware routing for multiple e-beam lithography,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,routing:routing; lithography_optimization:lithography,,
2-s2.0-84921513786,in_field,2015,Synthesis of TSV fault-tolerant 3-D clock trees,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84926309222,design,2015,TSV Replacement and Shield Insertion for TSV-TSV Coupling Reduction in 3-D Global Placement,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,placement:placement,,
2-s2.0-84942426877,transit,2015,Temperature Tracking: Toward Robust Run-Time Detection of Hardware Trojans,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,security_analysis:hardware trojan,,
2-s2.0-84933044836,transit,2015,VeriTrust: Verification for hardware trust,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,ai_for_chips,low,Chip design task without explicit AI method,,,verification:verification,,
2-s2.0-84938811502,fabrication,2015,A Compact Test Structure for Characterizing Transistor Variability beyond 3σ,IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938778075,fabrication,2015,A MOSFET Fabrication Using a Maskless Lithography System in Clean-Localized Environment of Minimal Fab,IEEE Transactions on Semiconductor Manufacturing,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:lithography,,
2-s2.0-84938793547,in_field,2015,A New Accelerated Endurance Test for Terabit NAND Flash Memory Using Interference Effect,IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938771727,design,2015,Carrier Profiling Technology in Ten Nanometers Devices,IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938817840,fabrication,2015,Development of Wafer Transfer Simulator Based on Cellular Automata,IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84922572656,in_field,2015,Impact of linewidth on backend dielectric TDDB and incorporation of the linewidth effect in full chip lifetime analysis,IEEE Transactions on Semiconductor Manufacturing,ai_for_chips,low,Chip design task without explicit AI method,,,reliability_analysis:tddb,,
2-s2.0-84938807085,fabrication,2015,Multi-Strata Stealth Dicing before Grinding for Singulation-Defects Elimination and Die Strength Enhancement: Experiment and Simulation,IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84960395365,fabrication,2015,"Non-Contact, Sub-Surface Detection of Alloy Segregation in Back-End of Line Copper Dual-Damascene Structures",IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84938775115,fabrication,2015,Pattern-Independent PMD Layer Planarization by Controlling its Volume before CMP,IEEE Transactions on Semiconductor Manufacturing,ai_for_chips,low,Chip design task without explicit AI method,,,process_optimization:cmp,,
2-s2.0-84960391200,fabrication,2015,Process Development and Optimization for 3 μm High Aspect Ratio Via-Middle Through-Silicon Vias at Wafer Level,IEEE Transactions on Semiconductor Manufacturing,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84960943497,fabrication,2015,Uniformity control of 3-D stacked ICs: Optical metrology and statistical analysis,IEEE Transactions on Semiconductor Manufacturing,ai_for_chips,low,Chip design task without explicit AI method,,,process_optimization:metrology,,
2-s2.0-85028211516,design,2015,A 0.1-6.0-GHz dual-path SDR transmitter supporting intraband carrier aggregation in 65-nm CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-85027951173,in_field,2015,"A 0.325 V, 600-kHz, 40-nm 72-kb 9T subthreshold SRAM with aligned boosted write wordline and negative write bitline write-assist",IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-85027939530,design,2015,A 1.2-V 450-μW Gm-C Bluetooth Channel Filter Using a Novel Gain-Boosted Tunable Transconductor,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,lithography_optimization:ilt,,
2-s2.0-84914811556,design,2015,A 10-bit 200-MS/s Zero-Crossing-Based Pipeline ADC in 0.13-μ m CMOS Technology,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:adc,,
2-s2.0-85027933154,design,2015,A 16-mW 8-Bit 1-GS/s digital-subranging ADC in 55-nm CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:adc,,
2-s2.0-85027929518,design,2015,A 28-nm CMOS 1 V 3.5 GS/s 6-bit DAC with signal-independent delta-I noise DfT scheme,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:dac,,
2-s2.0-85027953089,design,2015,A 28-nm CMOS 7-GS/s 6-bit DAC with DFT clock and memory reaching SFDR >50 dB Up to 1 GHz,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:dac,,
2-s2.0-85028214890,design,2015,A 350-MS/s continuous-time delta-sigma modulator with a digitally assisted binary-DAC and a 5-bits two-step-ADC quantizer in 130-nm CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:adc,,
2-s2.0-84959527246,design,2015,A 5.4-mW 180-cm Transmission Distance 2.5-Mb/s Advanced Techniques-Based Novel Intrabody Communication Receiver Analog Front End,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84914820690,design,2015,A 6-bit 2.5-GS/s Time-Interleaved Analog-to-Digital Converter Using Resistor-Array Sharing Digital-to-Analog Converter,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,analog_circuit_design:analog-to-digital,,
2-s2.0-84930503684,in_field,2015,A CMOS PWM transceiver using self-referenced edge detection,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84959487276,fabrication,2015,A Fast Modular Method for True Variation-Aware Separatrix Tracing in Nanoscaled SRAMs,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-85027944829,in_field,2015,A Fault-Tolerant Technique Using Quadded Logic and Quadded Transistors,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84959558406,design,2015,A High-SFDR 14-bit 500 MS/s Current-Steering D/A Converter in 0.18μ m CMOS,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-84928745348,design,2015,A Highly-scalable analog equalizer using a tunable and current-reusable for 10-Gb/s I/O Links,IEEE Transactions on Very Large Scale Integration VLSI Systems,unclassified,low,No ontology class pattern matched,,,,,
2-s2.0-85027924697,packaging,2015,A Holistic Analysis of Circuit Performance Variations in 3-D ICs with Thermal and TSV-Induced Stress Considerations,IEEE Transactions on Very Large Scale Integration VLSI Systems,ai_for_chips,low,Chip design task without explicit AI method,,,calibration:circuit performance,,
