stage,role,year,author,title,doi,status,oa_version,oa_license,filename,notes
Design,Anchor,2024,Thakur S.,VeriGen: A Large Language Model for Verilog Code Generation,10.1145/3643681,paywall,,,,no OA location
Design,Anchor,2020,Li Y.,An Artificial Neural Network Assisted Optimization System for Analog D…,10.1109/TCAD.2019.2961322,paywall,,,,no OA location
Design,Anchor,2024,Wu H.,ChatEDA: A Large Language Model Powered Autonomous Agent for EDA,10.1109/TCAD.2024.3383347,paywall,,,,no OA location
Design,Anchor,2022,Zhang S.,An Efficient Batch-Constrained Bayesian Optimization Approach for Anal…,10.1109/TCAD.2021.3054811,downloaded,submittedVersion,,Design_2022_Zhang_An_Efficient_Batch_Constrained_Bayesian_Optim.pdf,ok_1431259B
Design,Anchor,2021,Lin Y.,DREAMPlace: Deep Learning Toolkit-Enabled GPU Acceleration for Modern…,10.1109/TCAD.2020.3003843,paywall,,,,no OA location
Design,Exemplar,2022,Budak A.F.,An Efficient Analog Circuit Sizing Method Based on Machine Learning As…,10.1109/TCAD.2021.3081405,download_failed,acceptedVersion,cc-by-sa,,fetch_error_HTTP Error 404: Not Found
Design,Exemplar,2022,Settaluri K.,Automated Design of Analog Circuits Using Reinforcement Learning,10.1109/TCAD.2021.3120547,paywall,,,,no OA location
Design,Exemplar,2022,Zhou R.,An Analog Circuit Design and Optimization System With Rule-Guided Gene…,10.1109/TCAD.2022.3166637,paywall,,,,no OA location
Design,Exemplar,2023,Wu N.,IronMan-Pro: Multiobjective Design Space Exploration in HLS via Reinfo…,10.1109/TCAD.2022.3185540,paywall,,,,no OA location
Design,Exemplar,2022,Xu Q.,GoodFloorplan: Graph Convolutional Network and Reinforcement Learning-…,10.1109/TCAD.2021.3131550,paywall,,,,no OA location
Design,Exemplar,2021,Cheng C.K.,Complementary-FET (CFET) Standard Cell Synthesis Framework for Design…,10.1109/TVLSI.2021.3065639,paywall,,,,no OA location
Design,Recent,2025,Liu B.,LayoutCopilot: An LLM-Powered Multiagent Collaborative Framework for I…,10.1109/TCAD.2025.3529805,paywall,,,,no OA location
Design,Recent,2023,Wei J.,A New Compact MOSFET Model Based on Artificial Neural Network With Uni…,10.1109/TCAD.2022.3193330,paywall,,,,no OA location
Design,Newest,2026,Ahmadzadeh M.,AnaCraft: Duel-Play Probabilistic-Model-Based Reinforcement Learning f…,10.1109/TCAD.2025.3582175,paywall,,,,no OA location
Design,Newest,2026,Shen J.,Atelier: An Automated Analog Circuit Design Framework via Multiple Lar…,10.1109/TCAD.2025.3573228,paywall,,,,no OA location
Fabrication,Anchor,2020,Yang H.,GAN-OPC: Mask Optimization with Lithography-Guided Generative Adversar…,10.1109/TCAD.2019.2939329,paywall,,,,no OA location
Fabrication,Anchor,2021,Chiu M.C.,Applying Data Augmentation and Mask R-CNN-Based Instance Segmentation…,10.1109/TSM.2021.3118922,paywall,,,,no OA location
Fabrication,Anchor,2021,Cheng K.C.C.,Machine Learning-Based Detection Method for Wafer Test Induced Defects,10.1109/TSM.2021.3065405,paywall,,,,no OA location
Fabrication,Exemplar,2022,Jiang B.,Neural-ILT 2.0: Migrating ILT to Domain-Specific and Multitask-Enabled…,10.1109/TCAD.2021.3109556,paywall,,,,no OA location
Fabrication,Exemplar,2019,Jang S.J.,A wafer map yield prediction based on machine learning for productivit…,10.1109/TSM.2019.2945482,paywall,,,,no OA location
Fabrication,Exemplar,2016,Ciccazzo A.,A SVM surrogate model-based method for parametric yield optimization,10.1109/TCAD.2015.2501307,paywall,,,,no OA location
