"pick","stage","year","cites","cpy","title","venue","methods","doi"
"","design","2020","219","36.5","AutoCkt: Deep Reinforcement Learning of Analog Circuit Designs","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","reinforcement_learning","10.23919/DATE48585.2020.9116200"
"","design","2018","212","26.5","RouteNet: Routability prediction for mixed-size designs using convolutional neural network","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","10.1145/3240765.3240843"
"","design","2019","175","25.0","DREAMPlace: Deep learning toolkit-enabled GPU acceleration for modern VLSI placement","Proceedings Design Automation Conference","deep_learning","10.1145/3316781.3317803"
"","design","2019","103","14.7","3D heterogeneous integration of high performance high-K metal gate GaN NMOS and Si PMOS transistors on 300mm high-resistivity Si substrate for energy-efficient and compact power delivery, RF (5G and beyond) and SoC applications","Technical Digest International Electron Devices Meeting Iedm","generative_adversarial","10.1109/IEDM19573.2019.8993583"
"","design","2025","19","19.0","ADO-LLM: Analog Design Bayesian Optimization with In-Context Learning of Large Language Models","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic; llm_foundation_models","10.1145/3676536.3676816"
"","design","2024","36","18.0","ChatCPU: An Agile CPU Design and Verification Platform with LLM","Proceedings Design Automation Conference","llm_foundation_models","10.1145/3649329.3658493"
"","design","2023","38","12.7","Graph Neural Networks: A Powerful and Versatile Tool for Advancing Design, Reliability, and Security of ICs","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","deep_learning; graph_neural_networks","10.1145/3566097.3568345"
"","fabrication","2018","120","15.0","GAN-OPC: Mask optimization with lithography-guided generative adversarial nets","Proceedings Design Automation Conference","generative_adversarial","10.1145/3195970.3196056"
"","fabrication","2020","63","10.5","Neural-ILT: Migrating ILT to Neural Networks for Mask Printability and Complexity Co-optimization","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","10.1145/3400302.3415704"
"","fabrication","2019","50","7.1","A deep learning model for identification of defect patterns in semiconductor wafer map","Asmc Advanced Semiconductor Manufacturing Conference Proceedings","deep_learning","10.1109/ASMC.2019.8791815"
"","fabrication","2019","46","6.6","Machine learning-based hotspot detection: Fallacies, pitfalls and marching orders","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","classical_ml; general_ml_signals","10.1109/ICCAD45719.2019.8942128"
"","fabrication","2025","15","15.0","CorrectBench: Automatic Testbench Generation with Functional Self-Correction using LLMs for HDL Design","Proceedings Design Automation and Test in Europe Date","llm_foundation_models","10.23919/DATE64628.2025.10992873"
"","fabrication","2024","13","6.5","Bayesian Optimization of Large Glass Package Architecture for System-Level Reliability in High-Performance Computing Applications","Proceedings Electronic Components and Technology Conference","bayesian_probabilistic","10.1109/ECTC51529.2024.00047"
"","fabrication","2025","6","6.0","MVREC: A General Few-shot Defect Classification Model Using Multi-View Region-Context","Proceedings of the Aaai Conference on Artificial Intelligence","llm_foundation_models","10.1609/aaai.v39i6.32634"
"","packaging","2022","49","12.2","LHNN: Lattice Hypergraph Neural Network for VLSI Congestion Prediction","Proceedings Design Automation Conference","deep_learning","10.1145/3489517.3530675"
"","packaging","2018","19","2.4","Data Driven Prediction Model (DDPM) for Server Inlet Temperature Prediction in Raised-floor Data Centers","Proceedings of the 17th Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems Itherm 2018","general_ml_signals","10.1109/ITHERM.2018.8419650"
"","packaging","2021","8","1.6","Assessing the impact of novel polymers and thermal management in a power electronics module using machine learning approaches","Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems Itherm","classical_ml","10.1109/ITherm51669.2021.9503255"
"","packaging","2025","5","5.0","Fast Machine Learning Based Prediction for Temperature Simulation Using Compact Models","Proceedings Design Automation and Test in Europe Date","classical_ml","10.23919/DATE64628.2025.10993231"
"","packaging","2025","4","4.0","Tasa: Thermal-aware 3D-Stacked Architecture Design with Bandwidth Sharing for LLM Inference","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","llm_foundation_models","10.1109/ICCAD66269.2025.11240805"
"","packaging","2025","3","3.0","Fast and Accurate Machine Learning Prediction of Back-End-of-Line Thermal Resistances in Backside Power Delivery and Chiplet Architectures","Proceedings Electronic Components and Technology Conference","classical_ml","10.1109/ECTC51687.2025.00269"
"","transit","2021","124","24.8","GNN4TJ: Graph Neural Networks for Hardware Trojan Detection at Register Transfer Level","Proceedings Design Automation and Test in Europe Date","deep_learning; graph_neural_networks","10.23919/DATE51398.2021.9474174"
"","transit","2021","109","21.8","Automated Test Generation for Hardware Trojan Detection using Reinforcement Learning","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","reinforcement_learning","10.1145/3394885.3431595"
"","transit","2015","80","7.3","Hardware Trojan detection for gate-level ICs using signal correlation based clustering","Proceedings Design Automation and Test in Europe Date","classical_ml","10.7873/date.2015.0365"
"","transit","2018","76","9.5","A machine learning attack resistant multi-PUF design on FPGA","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","10.1109/ASPDAC.2018.8297289"
"","transit","2023","11","3.7","Automated Hardware Trojan Detection at LUT Using Explainable Graph Neural Networks","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning; graph_neural_networks","10.1109/ICCAD57390.2023.10323915"
"","transit","2024","3","1.5","PATROL: An Evolutionary APproach to Automatic Test Pattern Generation for Hardware TROjan Detection Leveraging PSO-GA Hybrid Techniques","Proceedings of the Asian Test Symposium","evolutionary_optimization","10.1109/ATS64447.2024.10915294"
"","transit","2026","0","0.0","SCPrompt: Semantic Compression and Prompt-Guided LLM Reasoning for RTL Trojan Detection","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","llm_foundation_models","10.1109/ASP-DAC66049.2026.11420457"
"","in_field","2021","45","9.0","HTnet: Transfer Learning for Golden Chip-Free Hardware Trojan Detection","Proceedings Design Automation and Test in Europe Date","transfer_learning","10.23919/DATE51398.2021.9474076"
"","in_field","2020","39","6.5","Aadam: A Fast, Accurate, and Versatile Aging-Aware Cell Library Delay Model using Feed-Forward Neural Network","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","10.1145/3400302.3415605"
"","in_field","2019","32","4.6","DRIS-3: Deep neural network reliability improvement scheme in 3D die-stacked memory based on fault analysis","Proceedings Design Automation Conference","deep_learning","10.1145/3316781.3317805"
"","in_field","2022","32","8.0","A Multi-level Approach to Evaluate the Impact of GPU Permanent Faults on CNN's Reliability","Proceedings International Test Conference","deep_learning","10.1109/ITC50671.2022.00036"
"","in_field","2023","26","8.7","Fast Full-Chip Parametric Thermal Analysis Based on Enhanced Physics Enforced Neural Networks","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","10.1109/ICCAD57390.2023.10323696"
"","in_field","2025","4","4.0","LLM-Aided In-Field Workload Generation for Detecting Silent Data Corruptions at Scale","Proceedings International Test Conference","llm_foundation_models","10.1109/ITC58126.2025.00018"
"","in_field","2025","3","3.0","Enhanced Power Estimation of Digital VLSI Circuits Using Machine Learning","2025 IEEE 9th International Test Conference India Itc India 2025","classical_ml","10.1109/ITCIndia66078.2025.11141574"
