stage,year,query,total,retrieved_rows,note,year_total,share_in_year
design,2015,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2015 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",144,144,paged_6_pages_capped,481,0.2993762993762994
design,2016,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2016 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",178,178,paged_8_pages_capped,528,0.3371212121212121
design,2017,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2017 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",156,156,paged_7_pages_capped,536,0.291044776119403
design,2018,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2018 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",170,170,paged_7_pages_capped,560,0.30357142857142855
design,2019,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2019 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",148,148,paged_6_pages_capped,486,0.3045267489711934
design,2020,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2020 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",152,152,paged_7_pages_capped,488,0.3114754098360656
design,2021,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2021 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",164,164,paged_7_pages_capped,453,0.3620309050772627
design,2022,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2022 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",205,205,paged_9_pages_capped,583,0.3516295025728988
design,2023,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2023 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",244,244,paged_10_pages_capped,659,0.37025796661608495
design,2024,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2024 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",222,222,paged_9_pages_capped,570,0.3894736842105263
design,2025,"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = 2025 AND (SRCTITLE(""IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"") OR SRCTITLE(""ACM Transactions on Design Automation of Electronic Systems"") OR SRCTITLE(""Integration"") OR SRCTITLE(""Journal of Computational Electronics"") OR SRCTITLE(""IEEE Transactions on Very Large Scale Integration (VLSI) Systems"") OR SRCTITLE(""IEEE Design & Test"") OR SRCTITLE(""Microelectronics Journal"") OR SRCTITLE(""IEEE Transactions on Semiconductor Manufacturing"") OR SRCTITLE(""Microelectronics Reliability"")) AND SRCTYPE(j) AND DOCTYPE(ar)",316,316,paged_13_pages_capped,917,0.3446019629225736
