"decision","reason","flag","stage","year","title","venue","methods","tasks","cites","doi","doc_id"
"","","","design","2015","Bayesian model fusion: Enabling test cost reduction of analog/RF circuits via wafer-level spatial variation modeling","Proceedings International Test Conference","bayesian_probabilistic","analog_circuit_design:rf circuit; wafer_map_analysis:wafer-level","1","10.1109/TEST.2014.7035328","2-s2.0-84954288409"
"","","","design","2015","Efficient multivariate moment estimation via Bayesian model fusion for analog and mixed-signal circuits","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:mixed-signal circuit","14","10.1145/2744769.2744832","2-s2.0-84944104282"
"","","","design","2015","Towards enhancing analog circuits sizing using SMT-based techniques","Proceedings Design Automation Conference","symbolic_reasoning","analog_circuit_design:analog circuit","5","10.1145/2744769.2744919","2-s2.0-84944097068"
"","","","design","2016","Adaptive Threshold Non-Pareto Elimination: Re-thinking machine learning for system level design space exploration on FPGAs","Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016","classical_ml","design_space_exploration:design space exploration","64","10.3850/9783981537079_0350","2-s2.0-84973606577"
"","","","design","2016","Co-Learning Bayesian Model Fusion: Efficient performance modeling of analog and mixed-signal circuits using side information","2015 IEEE ACM International Conference on Computer Aided Design Iccad 2015","bayesian_probabilistic","analog_circuit_design:mixed-signal circuit; calibration:performance modeling","21","10.1109/ICCAD.2015.7372621","2-s2.0-84964561947"
"","","","design","2016","Correlated Bayesian Model Fusion: Efficient performance modeling of large-scale tunable analog/RF integrated circuits","Proceedings Design Automation Conference","bayesian_probabilistic","calibration:performance modeling","6","10.1145/2897937.2897999","2-s2.0-84977126035"
"","","","design","2016","Efficient Performance Modeling via Dual-Prior Bayesian Model Fusion for Analog and Mixed-Signal Circuits","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:mixed-signal circuit; calibration:performance modeling","5","10.1145/2897937.2898014","2-s2.0-85067808991"
"","","","design","2016","Learning-based prediction of embedded memory timing failures during initial floorplan design","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","general_ml_signals","placement:floorplan","33","10.1109/ASPDAC.2016.7428008","2-s2.0-84996878214"
"","","","design","2016","On-die learning-based self-calibration of analog/RF ICs","Proceedings of the IEEE VLSI Test Symposium","general_ml_signals","analog_circuit_design:rf ic; calibration:calibration","11","10.1109/VTS.2016.7477297","2-s2.0-84973902434"
"","","","design","2016","Pareto front analog layout placement using Satisfiability Modulo Theories","Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016","symbolic_reasoning","placement:placement; design_space_exploration:pareto; analog_circuit_design:analog layout","8","","2-s2.0-84973615747"
