retrieval_pass,stage,source_type_filter,query_template
conference_A,design,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Design Automation Conference"") OR SRCTITLE(""International Conference on Computer-Aided Design"") OR SRCTITLE(""Design, Automation and Test in Europe"") OR SRCTITLE(""Advances in Neural Information Processing Systems"") OR SRCTITLE(""International Conference on Machine Learning"") OR SRCTITLE(""AAAI Conference on Artificial Intelligence"") OR SRCTITLE(""International Conference on Learning Representations"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_A,disposal,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Design Automation Conference"") OR SRCTITLE(""International Conference on Computer-Aided Design"") OR SRCTITLE(""Design, Automation and Test in Europe"") OR SRCTITLE(""Advances in Neural Information Processing Systems"") OR SRCTITLE(""International Conference on Machine Learning"") OR SRCTITLE(""AAAI Conference on Artificial Intelligence"") OR SRCTITLE(""International Conference on Learning Representations"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_A,fabrication,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Design Automation Conference"") OR SRCTITLE(""International Conference on Computer-Aided Design"") OR SRCTITLE(""Design, Automation and Test in Europe"") OR SRCTITLE(""Advances in Neural Information Processing Systems"") OR SRCTITLE(""International Conference on Machine Learning"") OR SRCTITLE(""AAAI Conference on Artificial Intelligence"") OR SRCTITLE(""International Conference on Learning Representations"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_A,in_field,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""post-silicon"" OR ""in-field"" OR ""field failure"" OR telemetry OR reliability OR aging OR wearout OR silent OR radiation OR CEE OR SEE OR BTI OR HCI OR electromigration OR SDE OR SDC OR ""anomaly detection"" OR ""single-event effect"" OR ""predictive maintenance"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Design Automation Conference"") OR SRCTITLE(""International Conference on Computer-Aided Design"") OR SRCTITLE(""Design, Automation and Test in Europe"") OR SRCTITLE(""Advances in Neural Information Processing Systems"") OR SRCTITLE(""International Conference on Machine Learning"") OR SRCTITLE(""AAAI Conference on Artificial Intelligence"") OR SRCTITLE(""International Conference on Learning Representations"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_A,packaging,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(chiplet OR interposer OR TSV OR ""Through-silicon via"" OR UCIe OR HBM OR ""3D integration"" OR ""advanced packaging"" OR ""3D IC"" OR ""2.5D IC"" OR ""Heterogeneous"" OR ""3DIC"" OR ""thermal management"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Design Automation Conference"") OR SRCTITLE(""International Conference on Computer-Aided Design"") OR SRCTITLE(""Design, Automation and Test in Europe"") OR SRCTITLE(""Advances in Neural Information Processing Systems"") OR SRCTITLE(""International Conference on Machine Learning"") OR SRCTITLE(""AAAI Conference on Artificial Intelligence"") OR SRCTITLE(""International Conference on Learning Representations"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_A,transit,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""supply chain"" OR ""semiconductor supply chain"" OR ""counterfeit"" OR ""IC counterfeit"" OR ""counterfeit detection"" OR ""hardware authentication"" OR ""physically unclonable function"" OR PUF OR ""chip provenance"" OR ""chain of custody"" OR traceability OR ""burn-in"" OR ""system-level test"" OR SLT OR ""final test"" OR ""package test"" OR ""wafer probe"" OR ""wafer sort"" OR ""known good die"" OR KGD OR ""hardware trojan"" OR ""trojan detection"" OR ""binning"" OR ""speed binning"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Design Automation Conference"") OR SRCTITLE(""International Conference on Computer-Aided Design"") OR SRCTITLE(""Design, Automation and Test in Europe"") OR SRCTITLE(""Advances in Neural Information Processing Systems"") OR SRCTITLE(""International Conference on Machine Learning"") OR SRCTITLE(""AAAI Conference on Artificial Intelligence"") OR SRCTITLE(""International Conference on Learning Representations"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_B,design,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""electronic design automation"" OR ""EDA"" OR ""Schematic"" OR ""schematic"" OR ""high-level synthesis"" OR HLS OR SystemC OR ""standard cell"" OR ""cell placement"" OR ""analog design"" OR floorplan OR floorplanning OR ""place and route"" OR PnR OR Analog OR analog OR DRC OR PDK OR LVS) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Advanced Semiconductor Manufacturing Conference"") OR SRCTITLE(""International Symposium on Semiconductor Manufacturing"") OR SRCTITLE(""International Electron Devices Meeting"") OR SRCTITLE(""Simulation of Semiconductor Processes and Devices"") OR SRCTITLE(""Symposium on VLSI Technology"") OR SRCTITLE(""Electronic Components and Technology Conference"") OR SRCTITLE(""Intersociety Conference on Thermal and Thermomechanical Phenomena"") OR SRCTITLE(""International Test Conference"") OR SRCTITLE(""VLSI Test Symposium"") OR SRCTITLE(""Asian Test Symposium"") OR SRCTITLE(""International Reliability Physics Symposium"") OR SRCTITLE(""International Symposium on the Physical and Failure Analysis of Integrated Circuits"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_B,disposal,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""electronic waste"" OR ""e-waste"" OR WEEE OR ""end-of-life"" OR ""end of life electronics"" OR ""electronics recycling"" OR ""semiconductor recycling"" OR ""circular economy electronics"" OR ""material recovery"" OR ""urban mining"" OR ""decommissioning"" OR demanufacturing OR dismantling OR ""secure erasure"" OR ""data sanitization"" OR ""cryptographic erasure"" OR ""RoHS"" OR ""hazardous substances"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Advanced Semiconductor Manufacturing Conference"") OR SRCTITLE(""International Symposium on Semiconductor Manufacturing"") OR SRCTITLE(""International Electron Devices Meeting"") OR SRCTITLE(""Simulation of Semiconductor Processes and Devices"") OR SRCTITLE(""Symposium on VLSI Technology"") OR SRCTITLE(""Electronic Components and Technology Conference"") OR SRCTITLE(""Intersociety Conference on Thermal and Thermomechanical Phenomena"") OR SRCTITLE(""International Test Conference"") OR SRCTITLE(""VLSI Test Symposium"") OR SRCTITLE(""Asian Test Symposium"") OR SRCTITLE(""International Reliability Physics Symposium"") OR SRCTITLE(""International Symposium on the Physical and Failure Analysis of Integrated Circuits"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_B,fabrication,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""yield"" OR ""wafer"" OR ""die yield"" OR ""defect detection"" OR ""defect classification"" OR metrology OR ""process variation"" OR photolithography OR ""layer deposition"" OR ALD OR OPC OR ""critical dimension"" OR CMP) AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Advanced Semiconductor Manufacturing Conference"") OR SRCTITLE(""International Symposium on Semiconductor Manufacturing"") OR SRCTITLE(""International Electron Devices Meeting"") OR SRCTITLE(""Simulation of Semiconductor Processes and Devices"") OR SRCTITLE(""Symposium on VLSI Technology"") OR SRCTITLE(""Electronic Components and Technology Conference"") OR SRCTITLE(""Intersociety Conference on Thermal and Thermomechanical Phenomena"") OR SRCTITLE(""International Test Conference"") OR SRCTITLE(""VLSI Test Symposium"") OR SRCTITLE(""Asian Test Symposium"") OR SRCTITLE(""International Reliability Physics Symposium"") OR SRCTITLE(""International Symposium on the Physical and Failure Analysis of Integrated Circuits"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
conference_B,in_field,SRCTYPE(p) AND DOCTYPE(cp),"TITLE-ABS-KEY(""post-silicon"" OR ""in-field"" OR ""field failure"" OR telemetry OR reliability OR aging OR wearout OR silent OR radiation OR CEE OR SEE OR BTI OR HCI OR electromigration OR SDE OR SDC OR ""anomaly detection"" OR ""single-event effect"" OR ""predictive maintenance"") AND TITLE-ABS-KEY(""integrated circuit"" OR ""IC design"" OR CMOS OR VLSI OR ""standard cell"" OR ""cell library"" OR netlist OR ""physical design"" OR ""System Verilog"" OR ""place and route"" OR ""static timing analysis"" OR ""timing closure"" OR ""clock tree"" OR TCAD OR CTS OR layout OR ""layout synthesis"" OR ""simulation"" OR lithography OR mask OR ""design rule"" OR DRC OR LVS OR ""EDA"" OR ""electronic design automation"") AND PUBYEAR = <YEAR> AND (SRCTITLE(""Advanced Semiconductor Manufacturing Conference"") OR SRCTITLE(""International Symposium on Semiconductor Manufacturing"") OR SRCTITLE(""International Electron Devices Meeting"") OR SRCTITLE(""Simulation of Semiconductor Processes and Devices"") OR SRCTITLE(""Symposium on VLSI Technology"") OR SRCTITLE(""Electronic Components and Technology Conference"") OR SRCTITLE(""Intersociety Conference on Thermal and Thermomechanical Phenomena"") OR SRCTITLE(""International Test Conference"") OR SRCTITLE(""VLSI Test Symposium"") OR SRCTITLE(""Asian Test Symposium"") OR SRCTITLE(""International Reliability Physics Symposium"") OR SRCTITLE(""International Symposium on the Physical and Failure Analysis of Integrated Circuits"")) AND SRCTYPE(p) AND DOCTYPE(cp)"
